"id","answer","query","d1A","d2A","d3A","d4A","d5A","d1B","d2B","d3B","d4B","d5B","DCGlzA","DCGlzB","DCGll2A","DCGll2B","DCGll3A","DCGll3B","DCGll5A","DCGll5B","DCGllA","DCGllB","DCGlnA","DCGlnB","DCGe2zA","DCGe2zB","DCGe2l2A","DCGe2l2B","DCGe2l3A","DCGe2l3B","DCGe2l5A","DCGe2l5B","DCGe2lA","DCGe2lB","DCGe2nA","DCGe2nB","DCGe3zA","DCGe3zB","DCGe3l2A","DCGe3l2B","DCGe3l3A","DCGe3l3B","DCGe3l5A","DCGe3l5B","DCGe3lA","DCGe3lB","DCGe3nA","DCGe3nB","DCGe5zA","DCGe5zB","DCGe5l2A","DCGe5l2B","DCGe5l3A","DCGe5l3B","DCGe5l5A","DCGe5l5B","DCGe5lA","DCGe5lB","DCGe5nA","DCGe5nB","DCGb1zA","DCGb1zB","DCGb1l2A","DCGb1l2B","DCGb1l3A","DCGb1l3B","DCGb1l5A","DCGb1l5B","DCGb1lA","DCGb1lB","DCGb1nA","DCGb1nB","DCGb2zA","DCGb2zB","DCGb2l2A","DCGb2l2B","DCGb2l3A","DCGb2l3B","DCGb2l5A","DCGb2l5B","DCGb2lA","DCGb2lB","DCGb2nA","DCGb2nB","comments"
2119,"bad","b019570","d013762","b015555","b006013","b013272","b018313","d007244","d007272","d001412","d008733","d013320",0.434,0,0.503,0,0.549,0,0.575,0,0.5,0,0.6,0,0.392,0,0.45,0,0.49,0,0.511,0,0.444,0,0.533,0,0.37,0,0.424,0,0.46,0,0.48,0,0.417,0,0.5,0,0.349,0,0.398,0,0.431,0,0.448,0,0.389,0,0.467,0,0.562,0,0.661,0,0.726,0,0.764,0,0.667,0,0.8,0,0.307,0,0.345,0,0.372,0,0.385,0,0.333,0,0.4,0,""
2120,"good","d011697","e015591","d002389","d014499","d007665","d012384","d013470","d013186","d002582","d006077","d015640",0.153,0.117,0.173,0.15,0.186,0.171,0.193,0.184,0.167,0.133,0.2,0.2,0.102,0.078,0.115,0.1,0.124,0.114,0.128,0.123,0.111,0.089,0.133,0.133,0.077,0.058,0.086,0.075,0.093,0.085,0.096,0.092,0.083,0.067,0.1,0.1,0.051,0.039,0.058,0.05,0.062,0.057,0.064,0.061,0.056,0.044,0.067,0.067,0.307,0.234,0.345,0.301,0.372,0.341,0.385,0.369,0.333,0.267,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,""
2121,"a","e012026","e005508","e003678","e013904","e019574","e013253","b003825","e016732","d015108","d019231","f007718",1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,""
2122,"good","b012102","b005622","b019938","b000156","b000153","a002174","a004114","a003760","b000156","b005373","a003386",0.318,0.81,0.308,0.765,0.298,0.736,0.296,0.718,0.267,0.767,0.3,0.7,0.212,0.796,0.205,0.743,0.199,0.71,0.197,0.689,0.178,0.756,0.2,0.667,0.159,0.788,0.154,0.732,0.149,0.697,0.148,0.675,0.133,0.75,0.15,0.65,0.106,0.781,0.103,0.721,0.099,0.684,0.099,0.66,0.089,0.744,0.1,0.633,0.635,0.854,0.616,0.83,0.596,0.813,0.592,0.805,0.533,0.8,0.6,0.8,0,0.766,0,0.699,0,0.659,0,0.631,0,0.733,0,0.6,""
2123,"a","d009737","d015706","d013844","e016799","d008986","d011676","d013844","e007763","d008986","e012157","e008070",0.646,0.292,0.585,0.254,0.543,0.23,0.52,0.216,0.567,0.267,0.5,0.2,0.577,0.195,0.503,0.17,0.454,0.154,0.426,0.144,0.489,0.178,0.4,0.133,0.542,0.146,0.462,0.127,0.409,0.115,0.378,0.108,0.45,0.133,0.35,0.1,0.507,0.097,0.421,0.085,0.364,0.077,0.331,0.072,0.411,0.089,0.3,0.067,0.854,0.584,0.83,0.509,0.813,0.461,0.805,0.432,0.8,0.533,0.8,0.4,0.438,0,0.339,0,0.274,0,0.236,0,0.333,0,0.2,0,""
2124,"b","d009750","a006992","b009534","f012842","e012443","e010067","d000314","d013041","d018376","d019560","d001140",0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,""
2125,"bad","f005072","a008076","e002662","b003334","e007159","b009791","e013794","e012515","e018792","a000843","b009126",0.161,0.044,0.216,0.066,0.248,0.077,0.271,0.087,0.167,0.033,0.3,0.1,0.136,0.029,0.188,0.044,0.217,0.052,0.238,0.058,0.133,0.022,0.267,0.067,0.124,0.022,0.174,0.033,0.201,0.039,0.222,0.043,0.117,0.017,0.25,0.05,0.112,0.015,0.159,0.022,0.186,0.026,0.206,0.029,0.1,0.011,0.233,0.033,0.234,0.088,0.301,0.131,0.341,0.155,0.369,0.173,0.267,0.067,0.4,0.2,0.088,0,0.131,0,0.155,0,0.173,0,0.067,0,0.2,0,""
2126,"good","e012958","d008959","e019161","e001623","e017729","e012713","e017846","e016934","e012713","e017729","e010881",0.153,0.27,0.212,0.362,0.245,0.416,0.269,0.454,0.167,0.3,0.3,0.5,0.139,0.246,0.19,0.334,0.219,0.385,0.241,0.421,0.156,0.267,0.267,0.467,0.131,0.234,0.179,0.32,0.206,0.369,0.226,0.405,0.15,0.25,0.25,0.45,0.124,0.221,0.168,0.306,0.194,0.354,0.212,0.389,0.144,0.233,0.233,0.433,0.197,0.343,0.277,0.447,0.322,0.509,0.356,0.551,0.2,0.4,0.4,0.6,0.109,0.197,0.146,0.277,0.168,0.322,0.183,0.356,0.133,0.2,0.2,0.4,""
2127,"bad","b018710","a007745","e010589","a005875","a005893","a002730","a005145","e001748","b016839","a005893","a008873",0.609,0.536,0.563,0.478,0.528,0.435,0.512,0.414,0.533,0.433,0.5,0.4,0.552,0.504,0.488,0.432,0.444,0.381,0.42,0.355,0.467,0.4,0.4,0.333,0.524,0.487,0.451,0.408,0.401,0.354,0.374,0.325,0.433,0.383,0.35,0.3,0.495,0.471,0.414,0.385,0.359,0.327,0.328,0.296,0.4,0.367,0.3,0.267,0.781,0.635,0.786,0.616,0.783,0.596,0.788,0.592,0.733,0.533,0.8,0.6,0.438,0.438,0.339,0.339,0.274,0.274,0.236,0.236,0.333,0.333,0.2,0.2,""
2128,"b","d009122","d018025","d000562","d017289","d009758","b009281","d003980","d015538","d014076","d001925","d002366",0.493,0.945,0.457,0.927,0.438,0.916,0.422,0.909,0.5,0.933,0.4,0.9,0.401,0.927,0.376,0.903,0.364,0.888,0.352,0.878,0.422,0.911,0.333,0.867,0.356,0.918,0.335,0.89,0.327,0.874,0.317,0.863,0.383,0.9,0.3,0.85,0.31,0.909,0.295,0.878,0.291,0.86,0.282,0.848,0.344,0.889,0.267,0.833,0.766,1,0.699,1,0.659,1,0.631,1,0.733,1,0.6,1,0.219,0.891,0.214,0.854,0.217,0.832,0.212,0.817,0.267,0.867,0.2,0.8,""
2129,"a","d006696","d003730","d017823","d017742","d015942","d011120","e013209","d017823","d005940","d004740","e015335",1,0.347,1,0.372,1,0.394,1,0.401,1,0.433,1,0.4,1,0.304,1,0.319,1,0.335,1,0.338,1,0.378,1,0.333,1,0.283,1,0.293,1,0.306,1,0.307,1,0.35,1,0.3,1,0.262,1,0.267,1,0.276,1,0.275,1,0.322,1,0.267,1,0.474,1,0.53,1,0.572,1,0.591,1,0.6,1,0.6,1,0.219,1,0.214,1,0.217,1,0.212,1,0.267,1,0.2,""
2130,"b","e010700","b001502","b017520","f013758","b006906","b010637","b014777","b006306","e006245","b000756","e002978",0,0.708,0,0.662,0,0.63,0,0.613,0,0.633,0,0.6,0,0.647,0,0.598,0,0.563,0,0.545,0,0.556,0,0.533,0,0.617,0,0.566,0,0.529,0,0.511,0,0.517,0,0.5,0,0.586,0,0.534,0,0.496,0,0.477,0,0.478,0,0.467,0,0.891,0,0.854,0,0.832,0,0.817,0,0.867,0,0.8,0,0.526,0,0.47,0,0.428,0,0.409,0,0.4,0,0.4,""
2131,"bad","e014385","e010889","d001629","e006867","e018325","e006270","e006270","d008733","b002328","e014772","e013661",0.599,0.536,0.555,0.478,0.522,0.435,0.507,0.414,0.5,0.433,0.5,0.4,0.574,0.504,0.527,0.432,0.491,0.381,0.475,0.355,0.467,0.4,0.467,0.333,0.562,0.487,0.513,0.408,0.475,0.354,0.458,0.325,0.45,0.383,0.45,0.3,0.55,0.471,0.499,0.385,0.459,0.327,0.442,0.296,0.433,0.367,0.433,0.267,0.672,0.635,0.64,0.616,0.615,0.596,0.605,0.592,0.6,0.533,0.6,0.6,0.526,0.438,0.47,0.339,0.428,0.274,0.409,0.236,0.4,0.333,0.4,0.2,""
2132,"b","e012026","e018067","d008505","d004746","e003091","b004809","e000426","e005737","e014617","e005508","e015187",0.055,1,0.073,1,0.084,1,0.091,1,0.067,1,0.1,1,0.036,1,0.049,1,0.056,1,0.061,1,0.044,1,0.067,1,0.027,1,0.037,1,0.042,1,0.046,1,0.033,1,0.05,1,0.018,1,0.024,1,0.028,1,0.03,1,0.022,1,0.033,1,0.109,1,0.146,1,0.168,1,0.183,1,0.133,1,0.2,1,0,1,0,1,0,1,0,1,0,1,0,1,""
2133,"bad","e009441","b010262","b016136","b003024","a003317","b005076","d007831","b008939","b017365","b005757","e002778",0.445,0.044,0.427,0.066,0.416,0.077,0.409,0.087,0.433,0.033,0.4,0.1,0.297,0.029,0.285,0.044,0.277,0.052,0.272,0.058,0.289,0.022,0.267,0.067,0.223,0.022,0.213,0.033,0.208,0.039,0.204,0.043,0.217,0.017,0.2,0.05,0.148,0.015,0.142,0.022,0.139,0.026,0.136,0.029,0.144,0.011,0.133,0.033,0.891,0.088,0.854,0.131,0.832,0.155,0.817,0.173,0.867,0.067,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,""
2134,"b","e000111","d004113","d004801","e019755","d006907","d008142","e002109","e011155","e009092","e001639","e006353",0.073,1,0.085,1,0.093,1,0.098,1,0.1,1,0.1,1,0.049,1,0.057,1,0.062,1,0.065,1,0.067,1,0.067,1,0.036,1,0.042,1,0.047,1,0.049,1,0.05,1,0.05,1,0.024,1,0.028,1,0.031,1,0.033,1,0.033,1,0.033,1,0.146,1,0.17,1,0.187,1,0.195,1,0.2,1,0.2,1,0,1,0,1,0,1,0,1,0,1,0,1,""
2135,"a","b015999","b010090","a001891","a007843","a004388","a003315","b004111","d011980","a000895","b007760","b000925",0.956,0.128,0.934,0.158,0.923,0.177,0.913,0.189,0.967,0.167,0.9,0.2,0.942,0.085,0.913,0.105,0.897,0.118,0.885,0.126,0.956,0.111,0.867,0.133,0.934,0.064,0.902,0.079,0.884,0.089,0.87,0.095,0.95,0.083,0.85,0.1,0.927,0.043,0.891,0.053,0.871,0.059,0.856,0.063,0.944,0.056,0.833,0.067,1,0.255,1,0.316,1,0.355,1,0.378,1,0.333,1,0.4,0.912,0,0.869,0,0.845,0,0.827,0,0.933,0,0.8,0,""
2136,"b","a005589","a008037","b000106","a005799","f018166","f003476","f007912","b004379","f001994","b000592","a000975",0,0.365,0,0.339,0,0.324,0,0.314,0,0.367,0,0.3,0,0.292,0,0.283,0,0.278,0,0.274,0,0.311,0,0.267,0,0.255,0,0.254,0,0.255,0,0.255,0,0.283,0,0.25,0,0.219,0,0.226,0,0.232,0,0.235,0,0.256,0,0.233,0,0.584,0,0.509,0,0.461,0,0.432,0,0.533,0,0.4,0,0.146,0,0.17,0,0.187,0,0.195,0,0.2,0,0.2,""
2137,"b","b012964","b005631","e001140","a003578","b014407","b006437","b008038","b000082","b005631","b009400","f013758",0.044,0,0.066,0,0.077,0,0.087,0,0.033,0,0.1,0,0.029,0,0.044,0,0.052,0,0.058,0,0.022,0,0.067,0,0.022,0,0.033,0,0.039,0,0.043,0,0.017,0,0.05,0,0.015,0,0.022,0,0.026,0,0.029,0,0.011,0,0.033,0,0.088,0,0.131,0,0.155,0,0.173,0,0.067,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,""
2138,"a","e006591","e018602","e004441","e016412","e004399","e003068","e004441","e013661","e004944","e018857","b000465",0.58,0.858,0.588,0.796,0.592,0.762,0.595,0.735,0.567,0.867,0.6,0.7,0.489,0.839,0.507,0.771,0.519,0.734,0.525,0.705,0.489,0.844,0.533,0.667,0.443,0.83,0.466,0.759,0.482,0.72,0.49,0.69,0.45,0.833,0.5,0.65,0.398,0.821,0.426,0.747,0.445,0.706,0.455,0.674,0.411,0.822,0.467,0.633,0.854,0.912,0.83,0.869,0.813,0.845,0.805,0.827,0.8,0.933,0.8,0.8,0.307,0.803,0.345,0.723,0.372,0.678,0.385,0.644,0.333,0.8,0.4,0.6,""
2139,"a","e000039","e019249","e005785","e002277","e008869","e017379","d000597","e006459","e019436","d013034","d006958",0.672,0.109,0.723,0.107,0.755,0.108,0.776,0.106,0.7,0.133,0.8,0.1,0.562,0.073,0.631,0.071,0.673,0.072,0.701,0.071,0.6,0.089,0.733,0.067,0.507,0.055,0.585,0.053,0.632,0.054,0.664,0.053,0.55,0.067,0.7,0.05,0.453,0.036,0.539,0.036,0.591,0.036,0.626,0.035,0.5,0.044,0.667,0.033,1,0.219,1,0.214,1,0.217,1,0.212,1,0.267,1,0.2,0.343,0,0.447,0,0.509,0,0.551,0,0.4,0,0.6,0,""
2140,"good","a007506","a006052","b014932","a005788","e004199","e007613","a000375","a001221","a006052","b014932","f011014",0.584,0.708,0.553,0.701,0.541,0.69,0.526,0.69,0.633,0.633,0.5,0.7,0.511,0.684,0.497,0.673,0.495,0.658,0.486,0.657,0.578,0.6,0.467,0.667,0.474,0.672,0.468,0.659,0.472,0.643,0.467,0.641,0.55,0.583,0.45,0.65,0.438,0.659,0.44,0.645,0.449,0.627,0.447,0.625,0.522,0.567,0.433,0.633,0.803,0.781,0.723,0.786,0.678,0.783,0.644,0.788,0.8,0.733,0.6,0.8,0.365,0.635,0.384,0.616,0.404,0.596,0.408,0.592,0.467,0.533,0.4,0.6,""
2141,"a","e004656","e008823","e009927","e015340","b014942","e013184","d015685","b014942","e015340","e003476","d002733",0.438,0.219,0.339,0.17,0.274,0.137,0.236,0.118,0.333,0.167,0.2,0.1,0.438,0.146,0.339,0.113,0.274,0.091,0.236,0.079,0.333,0.111,0.2,0.067,0.438,0.109,0.339,0.085,0.274,0.068,0.236,0.059,0.333,0.083,0.2,0.05,0.438,0.073,0.339,0.057,0.274,0.046,0.236,0.039,0.333,0.056,0.2,0.033,0.438,0.438,0.339,0.339,0.274,0.274,0.236,0.236,0.333,0.333,0.2,0.2,0.438,0,0.339,0,0.274,0,0.236,0,0.333,0,0.2,0,""
2142,"b","d018433","e008934","d004770","e013469","d007752","d002753","d014208","d014993","d007752","d012398","d008382",0.208,0.872,0.246,0.842,0.27,0.823,0.284,0.811,0.233,0.833,0.3,0.8,0.139,0.83,0.164,0.79,0.18,0.764,0.189,0.748,0.156,0.778,0.2,0.733,0.104,0.808,0.123,0.763,0.135,0.734,0.142,0.716,0.117,0.75,0.15,0.7,0.069,0.787,0.082,0.737,0.09,0.704,0.095,0.685,0.078,0.722,0.1,0.667,0.416,1,0.491,1,0.539,1,0.568,1,0.467,1,0.6,1,0,0.745,0,0.684,0,0.645,0,0.622,0,0.667,0,0.6,""
2143,"bad","e014267","e004696","e010715","b009791","d007374","a008492","d007374","b004052","e001820","e004523","e005112",0.438,0.044,0.384,0.066,0.354,0.077,0.33,0.087,0.433,0.033,0.3,0.1,0.365,0.029,0.327,0.044,0.308,0.052,0.291,0.058,0.378,0.022,0.267,0.067,0.328,0.022,0.299,0.033,0.285,0.039,0.271,0.043,0.35,0.017,0.25,0.05,0.292,0.015,0.271,0.022,0.263,0.026,0.252,0.029,0.322,0.011,0.233,0.033,0.657,0.088,0.553,0.131,0.491,0.155,0.449,0.173,0.6,0.067,0.4,0.2,0.219,0,0.214,0,0.217,0,0.212,0,0.267,0,0.2,0,""
2144,"b","d003906","d018113","d014192","d014355","e009801","d014148","d008538","d007541","d008847","d000101","d018213",0.445,0.719,0.427,0.67,0.416,0.637,0.409,0.618,0.433,0.667,0.4,0.6,0.297,0.625,0.285,0.559,0.277,0.516,0.272,0.491,0.289,0.556,0.267,0.467,0.223,0.578,0.213,0.504,0.208,0.455,0.204,0.427,0.217,0.5,0.2,0.4,0.148,0.532,0.142,0.449,0.139,0.395,0.136,0.364,0.144,0.444,0.133,0.333,0.891,1,0.854,1,0.832,1,0.817,1,0.867,1,0.8,1,0,0.438,0,0.339,0,0.274,0,0.236,0,0.333,0,0.2,""
2145,"bad","e012145","d009217","d003999","e005627","e006980","e006415","f005979","d003999","e000549","e001105","d008005",0.117,0,0.15,0,0.171,0,0.184,0,0.133,0,0.2,0,0.078,0,0.1,0,0.114,0,0.123,0,0.089,0,0.133,0,0.058,0,0.075,0,0.085,0,0.092,0,0.067,0,0.1,0,0.039,0,0.05,0,0.057,0,0.061,0,0.044,0,0.067,0,0.234,0,0.301,0,0.341,0,0.369,0,0.267,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,""
2146,"b","d012985","a007514","d009821","e008554","d013135","e004186","d007329","e007374","d009821","d009831","d004816",0.401,0.737,0.445,0.72,0.478,0.706,0.493,0.701,0.5,0.7,0.5,0.7,0.377,0.723,0.417,0.699,0.447,0.68,0.46,0.672,0.467,0.689,0.467,0.667,0.365,0.715,0.402,0.688,0.432,0.667,0.444,0.658,0.45,0.683,0.45,0.65,0.353,0.708,0.388,0.677,0.416,0.654,0.428,0.643,0.433,0.678,0.433,0.633,0.474,0.781,0.53,0.786,0.572,0.783,0.591,0.788,0.6,0.733,0.6,0.8,0.328,0.693,0.36,0.655,0.385,0.628,0.395,0.615,0.4,0.667,0.4,0.6,""
2147,"a","d009750","d014907","d013041","d005175","d007831","d000827","f012842","b009534","e010067","a006992","e012443",1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,""
2148,"b","f003748","a004042","b014898","a005952","a002676","b016463","a005788","a000494","a009226","a005422","b018844",0,0.828,0,0.777,0,0.745,0,0.724,0,0.8,0,0.7,0,0.771,0,0.702,0,0.66,0,0.632,0,0.733,0,0.6,0,0.743,0,0.665,0,0.618,0,0.586,0,0.7,0,0.55,0,0.714,0,0.628,0,0.576,0,0.54,0,0.667,0,0.5,0,1,0,1,0,1,0,1,0,1,0,1,0,0.657,0,0.553,0,0.491,0,0.449,0,0.6,0,0.4,""
2149,"good","b000859","f009138","f014301","f017316","b004393","b000071","f017917","b005077","b005387","b002702","b010640",0.682,0.182,0.647,0.192,0.622,0.202,0.61,0.204,0.633,0.233,0.6,0.2,0.65,0.122,0.601,0.128,0.568,0.135,0.55,0.136,0.6,0.156,0.533,0.133,0.633,0.091,0.578,0.096,0.541,0.101,0.521,0.102,0.583,0.117,0.5,0.1,0.617,0.061,0.555,0.064,0.514,0.067,0.491,0.068,0.567,0.078,0.467,0.067,0.781,0.365,0.786,0.384,0.783,0.404,0.788,0.408,0.733,0.467,0.8,0.4,0.584,0,0.509,0,0.461,0,0.432,0,0.533,0,0.4,0,""
2150,"a","b011724","a004804","b019093","f009343","a001307","b019695","a004098","b007741","a007506","b002892","a003284",0.482,0.489,0.405,0.576,0.351,0.633,0.323,0.666,0.367,0.567,0.3,0.7,0.467,0.465,0.383,0.548,0.325,0.602,0.294,0.633,0.356,0.533,0.267,0.667,0.46,0.453,0.372,0.534,0.312,0.586,0.28,0.617,0.35,0.517,0.25,0.65,0.453,0.44,0.361,0.52,0.3,0.571,0.265,0.601,0.344,0.5,0.233,0.633,0.526,0.562,0.47,0.661,0.428,0.726,0.409,0.764,0.4,0.667,0.4,0.8,0.438,0.416,0.339,0.491,0.274,0.539,0.236,0.568,0.333,0.467,0.2,0.6,""
2151,"bad","d017287","b008579","e017379","d018653","e001198","e000030","e013756","e017379","e013469","e009801","d004770",0.146,0.044,0.17,0.066,0.187,0.077,0.195,0.087,0.2,0.033,0.2,0.1,0.146,0.029,0.17,0.044,0.187,0.052,0.195,0.058,0.2,0.022,0.2,0.067,0.146,0.022,0.17,0.033,0.187,0.039,0.195,0.043,0.2,0.017,0.2,0.05,0.146,0.015,0.17,0.022,0.187,0.026,0.195,0.029,0.2,0.011,0.2,0.033,0.146,0.088,0.17,0.131,0.187,0.155,0.195,0.173,0.2,0.067,0.2,0.2,0.146,0,0.17,0,0.187,0,0.195,0,0.2,0,0.2,0,""
2152,"bad","d014334","e013469","d005586","e001198","d003179","e019606","d019682","d012572","d007861","e001198","e013756",0.274,0.693,0.287,0.616,0.301,0.569,0.304,0.538,0.333,0.667,0.3,0.5,0.255,0.657,0.263,0.58,0.273,0.533,0.273,0.503,0.311,0.622,0.267,0.467,0.246,0.639,0.251,0.562,0.259,0.515,0.258,0.485,0.3,0.6,0.25,0.45,0.237,0.62,0.238,0.544,0.245,0.497,0.243,0.467,0.289,0.578,0.233,0.433,0.328,0.803,0.36,0.723,0.385,0.678,0.395,0.644,0.4,0.8,0.4,0.6,0.219,0.584,0.214,0.509,0.217,0.461,0.212,0.432,0.267,0.533,0.2,0.4,""
2153,"good","d009811","d005043","d011646","d008955","d009275","d014052","d017700","d012634","d011237","d014681","d014052",0.427,0.044,0.415,0.066,0.407,0.077,0.402,0.087,0.4,0.033,0.4,0.1,0.285,0.029,0.277,0.044,0.271,0.052,0.268,0.058,0.267,0.022,0.267,0.067,0.214,0.022,0.208,0.033,0.203,0.039,0.201,0.043,0.2,0.017,0.2,0.05,0.142,0.015,0.138,0.022,0.136,0.026,0.134,0.029,0.133,0.011,0.133,0.033,0.854,0.088,0.83,0.131,0.813,0.155,0.805,0.173,0.8,0.067,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,""
2154,"b","e015566","e017864","e017955","e018499","a008439","e003352","e002821","e005764","e002988","e004265","e001715",0.073,1,0.085,1,0.093,1,0.098,1,0.1,1,0.1,1,0.049,1,0.057,1,0.062,1,0.065,1,0.067,1,0.067,1,0.036,1,0.042,1,0.047,1,0.049,1,0.05,1,0.05,1,0.024,1,0.028,1,0.031,1,0.033,1,0.033,1,0.033,1,0.146,1,0.17,1,0.187,1,0.195,1,0.2,1,0.2,1,0,1,0,1,0,1,0,1,0,1,0,1,""
2155,"bad","d011706","b019813","e013756","e019093","e013469","a007005","e003163","e013756","a007005","e009089","e001198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
2156,"b","e004944","b003812","b010561","b016322","b006144","a008873","e002349","b006144","e016434","e015785","b016322",0,0.693,0,0.655,0,0.628,0,0.615,0,0.667,0,0.6,0,0.693,0,0.655,0,0.628,0,0.615,0,0.667,0,0.6,0,0.693,0,0.655,0,0.628,0,0.615,0,0.667,0,0.6,0,0.693,0,0.655,0,0.628,0,0.615,0,0.667,0,0.6,0,0.693,0,0.655,0,0.628,0,0.615,0,0.667,0,0.6,0,0.693,0,0.655,0,0.628,0,0.615,0,0.667,0,0.6,""
2157,"bad","e013942","e002860","e010745","e012073","e006415","e004004","e002942","e006415","e010745","e004004","e012073",0.438,0,0.339,0,0.274,0,0.236,0,0.333,0,0.2,0,0.438,0,0.339,0,0.274,0,0.236,0,0.333,0,0.2,0,0.438,0,0.339,0,0.274,0,0.236,0,0.333,0,0.2,0,0.438,0,0.339,0,0.274,0,0.236,0,0.333,0,0.2,0,0.438,0,0.339,0,0.274,0,0.236,0,0.333,0,0.2,0,0.438,0,0.339,0,0.274,0,0.236,0,0.333,0,0.2,0,""
2158,"bad","b015503","a003790","b002892","a008194","b010900","a005142","b005929","b011731","b011158","b017775","a007617",0.073,0.182,0.085,0.192,0.093,0.202,0.098,0.204,0.1,0.233,0.1,0.2,0.049,0.122,0.057,0.128,0.062,0.135,0.065,0.136,0.067,0.156,0.067,0.133,0.036,0.091,0.042,0.096,0.047,0.101,0.049,0.102,0.05,0.117,0.05,0.1,0.024,0.061,0.028,0.064,0.031,0.067,0.033,0.068,0.033,0.078,0.033,0.067,0.146,0.365,0.17,0.384,0.187,0.404,0.195,0.408,0.2,0.467,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,""
2159,"a","e015566","e003907","e004265","e001715","e005468","e002821","a007868","e011315","a008439","e014293","b013648",1,0.055,1,0.073,1,0.084,1,0.091,1,0.067,1,0.1,1,0.036,1,0.049,1,0.056,1,0.061,1,0.044,1,0.067,1,0.027,1,0.037,1,0.042,1,0.046,1,0.033,1,0.05,1,0.018,1,0.024,1,0.028,1,0.03,1,0.022,1,0.033,1,0.109,1,0.146,1,0.168,1,0.183,1,0.133,1,0.2,1,0,1,0,1,0,1,0,1,0,1,0,""
2160,"b","d006674","e000952","e001198","e000208","d004770","e013184","d000013","d015748","d006141","d008242","d010764",0,0.682,0,0.692,0,0.702,0,0.704,0,0.733,0,0.7,0,0.577,0,0.589,0,0.603,0,0.605,0,0.644,0,0.6,0,0.524,0,0.538,0,0.553,0,0.556,0,0.6,0,0.55,0,0.471,0,0.486,0,0.503,0,0.506,0,0.556,0,0.5,0,1,0,1,0,1,0,1,0,1,0,1,0,0.365,0,0.384,0,0.404,0,0.408,0,0.467,0,0.4,""
2161,"a","a009059","a002785","b001793","a009956","a000100","a000277","a005631","a005142","a000149","b016835","a000843",0.883,0.62,0.85,0.57,0.829,0.535,0.816,0.517,0.867,0.567,0.8,0.5,0.844,0.596,0.799,0.542,0.772,0.504,0.754,0.484,0.822,0.533,0.733,0.467,0.825,0.584,0.774,0.528,0.744,0.488,0.724,0.468,0.8,0.517,0.7,0.45,0.805,0.572,0.749,0.513,0.715,0.473,0.693,0.452,0.778,0.5,0.667,0.433,1,0.693,1,0.655,1,0.628,1,0.615,1,0.667,1,0.6,0.766,0.547,0.699,0.485,0.659,0.442,0.631,0.419,0.733,0.467,0.6,0.4,""
2162,"bad","b000859","b011099","b005092","d001435","b003097","b004620","b005092","d002676","f017917","b011136","d001435",0,0.109,0,0.146,0,0.168,0,0.183,0,0.133,0,0.2,0,0.109,0,0.146,0,0.168,0,0.183,0,0.133,0,0.2,0,0.109,0,0.146,0,0.168,0,0.183,0,0.133,0,0.2,0,0.109,0,0.146,0,0.168,0,0.183,0,0.133,0,0.2,0,0.109,0,0.146,0,0.168,0,0.183,0,0.133,0,0.2,0,0.109,0,0.146,0,0.168,0,0.183,0,0.133,0,0.2,""
2163,"a","e005048","e010478","e011957","e006378","e004004","e008869","e012847","e010465","e018317","d013470","d006420",0.818,0.109,0.808,0.107,0.798,0.108,0.796,0.106,0.767,0.133,0.8,0.1,0.757,0.073,0.744,0.071,0.731,0.072,0.728,0.071,0.689,0.089,0.733,0.067,0.726,0.055,0.712,0.053,0.697,0.054,0.694,0.053,0.65,0.067,0.7,0.05,0.696,0.036,0.68,0.036,0.663,0.036,0.66,0.035,0.611,0.044,0.667,0.033,1,0.219,1,0.214,1,0.217,1,0.212,1,0.267,1,0.2,0.635,0,0.616,0,0.596,0,0.592,0,0.533,0,0.6,0,""
